Club Name,White European Italian,Black African American,Native American,Asian,Hispanic,Native Hawaiian or Other Pacific Islander,woman women,man men,Greek,lgbtq,Christian,Islam,Judaism,Hinduism,Buddhism,Muslim,Sikh,Description
Cal Poly Miracle Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.09903779917748838,0.19029317049079353,0.5032369346244867,0.2625930838357644,0.17923595267386216,0.11035273645486637,0.30207348947050416,Cal Poly Miracle Club Cal Poly Dance Marathon was established in 2016 under Children's Miracle Network. We fundraise year-round and host a dance marathon event every Spring in San Luis Obispo where all proceeds go to the Cottage Children's Medical Center.
Cal Poly Moot Court Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2809625506114926,0.3919607603920976,0.49711078039695,0.30527846370396794,0.3841918614883614,0.402601368843835,0.3314125088493761,"Cal Poly Moot Court Club Moot Court is a club to practice public speaking, oral and written debate, and critical thinking. Students argue over fictional cases and apply real-world precedents/concepts in front of a panel of judges during competitions with other schools."
Cal Poly Multiracial Students' Association,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.34959204429592317,0.4381107942357828,0.6617243742812371,0.46673681302828995,0.42467675002975125,0.5025519870495723,0.4973101658320985,"Cal Poly Multiracial Students' Association A social and cultural club focused on building a community to share, learn about, and celebrate mixed students' perspectives."
Cal Poly Mycology Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.24184742269333886,0.33414907276316314,0.574612305138811,0.2888837927061739,0.39686653408142714,0.28673407200325296,0.25485471226512246,"Cal Poly Mycology Club A club dedicated to allowing students to learn about the field of mycology. Major activities include foraging trips, mushroom grows, and other research projects. Join our Discord for information: https://discord.gg/yc9AMaWfaf"
Cal Poly National Organization of Minority Architect Students,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.16914221566640164,0.31467922003258775,0.5322151236333758,0.4246375058021121,0.33957420079501666,0.3148134099501042,0.4540282351149708,"Cal Poly National Organization of Minority Architect Students NOMAS is the student branch of the National Organization of Minority Architects (NOMA). NOMA’s purpose is to champion diversity within the design profession by promoting the excellence, community engagement, and professional development of its members."
Cal Poly Nursing / PA Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.13935380447636853,0.15714719702579014,0.2018913448018,0.2831459352279131,0.31180940791632555,0.056814666713285694,0.2551592068077668,Cal Poly Nursing / PA Club Give direction to students aiming for either the Nursing or PA profession. The club networks with admission counselors to familiarize students with each type of program offered. We also provide information with relevant job and volunteer opportunities.
Cal Poly Photography Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.20894072576934483,0.3348442534196353,0.5399231185342122,0.34624381794193115,0.3391207751959757,0.29770830863663206,0.3264165060641716,"Cal Poly Photography Club Cal Poly Photography Club is a casual, low-commitment group that allows students interested in photography of all types to take photos together as well as share their knowledge and love for photography."
Cal Poly Pickleball Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.16652874030215647,0.11961827722033294,0.4059000081264842,0.15507572137268785,0.1304481834417809,0.17185190365075637,0.21811063337015957,Cal Poly Pickleball Club The Cal Poly Pickleball Club welcomes players of all skill levels. It offers an inclusive environment to improve your court skills and discover a sport you can enjoy for a lifetime!
Cal Poly Pre-Dental Society,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.17070170605221763,0.20844025169919614,0.5411519086156329,0.32551949663205354,0.28213472948630447,0.17676617574151746,0.3161163877136083,Cal Poly Pre-Dental Society The Cal Poly Pre-Dental Society is a club for students interested in becoming a dentist and looking for a support network for their future dental career.
Cal Poly Product Management Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.18723880111145325,0.2652212094830848,0.44257404335274114,0.2935309019401407,0.25647362985313216,0.21720315447279956,0.24942276701602772,"Cal Poly Product Management Club Cal Poly PM Club aims to provide a space for students across different disciplines to learn about product management, build a network with peers as well as industry leaders, and immerse themselves at the intersection of business, tech, and design."
Cal Poly Psi Chi Chapter,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.23970119612158158,0.2703236821376774,0.41707375974665073,0.18079561809229994,0.4265224485504363,0.17324172778331184,0.3583030845551991,"Cal Poly Psi Chi Chapter Psi Chi is the National Honor Society for psychology students. Psi Chi is a platform for students to form meaningful connections with peers and faculty members, explore career paths, and network within our community and otherwise."
Cal Poly Public Policy Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.21695763545435237,0.34686569065503936,0.39235883106681035,0.3540181365490409,0.28264612209016005,0.26368964329349964,0.3478266653757207,"Cal Poly Public Policy Club The MPP Club is a student-led platform designed for Master’s in Public Policy students, fostering rich discussions, professional development, and practical policy application through workshops, networking events, and community outreach."
Cal Poly Quantitative Finance Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.22549231244176765,0.4387236972253704,0.5905397873487879,0.42360538342971654,0.28224157368783115,0.277848838497016,0.3104110118146376,"Cal Poly Quantitative Finance Club An organization dedicated to educating students about the field of quantitative finance, including member led presentations, seminars lead by industry professionals, and hands on group projects."
Cal Poly Real Estate Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1682213513930595,0.2312860551996791,0.4353565761726558,0.283304216941172,0.29631019432431993,0.19869883064050486,0.2628209626252502,Cal Poly Real Estate Club Club exposes students at Cal Poly to the many different facets of within the Real Estate industry.
Cal Poly Red Cross Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1701101496945081,0.21630245961175165,0.5323768488777654,0.2705656558128907,0.1946085387462777,0.12916995820586818,0.26347127463039344,"Cal Poly Red Cross Club The Cal Poly Red Cross Club strives to extend the humanitarian efforts of the American Red Cross to the Cal Poly and SLO communities. Our certification classes, blood drives, and visits from healthcare professionals promote a safer and healthier campus."
Cal Poly RFID and IOT Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.09836673952859044,0.23460657734991852,0.4130723938406175,0.24997520524521175,0.09828388610826248,0.14023389000800834,0.27500780430665356,"Cal Poly RFID and IOT Club We promote projects and education around RFID and IOT technologies, especially in business applications."
Cal Poly Roundnet Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.21484435397918428,0.17892264821620496,0.37717722877038085,0.18042312400233676,0.10848981389286659,0.12116148487503203,0.17707183823596978,Cal Poly Roundnet Club We are the HUB for Spikeball ( the sport of Roundnet ) at Cal Poly SLO! Our goal is to have every person that comes out to club meetings learn and love the game this club is promoting! Follow us for more information on instagram @calpolyspike.
Cal Poly Rowing Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.11380714541423288,0.09356078813576767,0.18007944253960023,0.23597191391596076,0.13833343289919564,0.11707083355215017,0.19616477082971626,Cal Poly Rowing Club Cal Poly Rowing Club aims to provide Mustangs of all experience levels the opportunity to either discover or continue participation in the sport of rowing. CPRC members can expect to row in boats ranging from single sculls all the way to eights.
Cal Poly Rugby Club,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.24547674459306718,0.22849615146385854,0.48285490778082135,0.2707717360449956,0.17156806974542232,0.21884900997512244,0.333805939868577,Cal Poly Rugby Club Club Sports Team
Cal Poly Salsa Club,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.13914809198445116,0.22848345058303846,0.4497989967485855,0.35575874694287185,0.17637037119133875,0.21375135312384774,0.4145693032634704,"Cal Poly Salsa Club Since 2000, the Cal Poly Salsa Club (CPSalsa) has been dedicated to promoting salsa, bachata, and other forms of Afro-Latin social dancing to San Luis Obispo and the rest of the Central Coast. Learn to dance with us, no partner or experience necessary!"
Cal Poly Scholars,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.20746874482453492,0.22435341912409307,0.4912250387649714,0.3417874375909509,0.14957464924719216,0.311802513498503,0.3537826483471036,"Cal Poly Scholars The Cal Poly Scholars program seeks to support and retain high-achieving students from California schools, who come from low-income backgrounds, by providing financial, academic, and community resources."
Cal Poly Security Education Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2583111640676259,0.35538904901524476,0.5561886953216897,0.35187627445272207,0.29472298397519425,0.3297436924682943,0.3864186873760168,"Cal Poly Security Education Club We are a group of security-oriented individuals who aim to teach and develop our security expertise through weekly talks, hands-on activities and competitions, and interdisciplinary research. Open to all majors, not just computing disciplinaries."
Cal Poly SLOverwatch Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2224387616146548,0.24851474649290578,0.5401462931329567,0.2743727206154012,0.1017345395820336,0.22283713313122783,0.31207283079684034,Cal Poly SLOverwatch Club SLOverwatch is a club connected to the overall Esports community on campus. We are a welcoming environment for both casual and competitive players of the video game Overwatch 2. Our primary purpose is to provide fun events and to make friends!
Cal Poly Sociology Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.14732064501585657,0.26994777475179565,0.593137405714314,0.36757686676359413,0.23725942467500996,0.20678810397451705,0.3052689888772401,"Cal Poly Sociology Club The organization will provide sociology students with support within their major, connections with the department and local organizations, and help students find their niche within the sociological field."
Cal Poly South Indian Cultural Club,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.33289051607383613,0.4009371087752206,0.7515390986497723,0.6058710443876352,0.5485473567932061,0.3925104603734434,0.6526226358858054,"Cal Poly South Indian Cultural Club A space to celebrate, preserve, and empower the South Indian culture and diaspora."
Cal Poly Student Veterans and Dependents Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2908675993228424,0.26695896078401843,0.5258022276417025,0.28579689225427674,0.2751822469191443,0.30605882576640336,0.36455411935182236,Cal Poly Student Veterans and Dependents Club A club for military connected students that builds community and provides resources.
Cal Poly Surfrider Foundation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.26362569265246355,0.3107666993612738,0.5013703550781087,0.28589882753838514,0.2782343837275346,0.26543040377870325,0.16336410682025526,"Cal Poly Surfrider Foundation We are a student chapter of Surfrider Foundation, a national non-profit organization dedicated to the protection and enjoyment of the world's oceans, beaches, and waves for all. We have many programs that focus on education and advocacy for our coastline"
Cal Poly Survivor Club,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.24107518763902464,0.19770057063810578,0.5175825433268841,0.3539688261549029,0.28286988719476724,0.2333594149072284,0.30484811504883336,"Cal Poly Survivor Club Our club creates an opportunity for Cal Poly students to meet new people while competing in an exciting strategic game based on the hit CBS TV show Survivor. If you don't want to play, you can also join a welcoming community of all reality TV lovers."
Cal Poly Swim Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2565585496126784,0.34443360150832714,0.5602077753215913,0.29352933191579905,0.23011256305429445,0.24282707498608047,0.18769378598925995,"Cal Poly Swim Club From beginners to former NCAA Division I swimmers, Swim Club is a fun and competitive club that offers training for swimmers of all abilities. We are a part of CISCA and CCS."
Cal Poly Swing Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.20999510569088015,0.2892421156095863,0.556685116795637,0.3624964540709498,0.3679037304656858,0.24774791854692435,0.35592257108515724,"Cal Poly Swing Club We are a group of dancers who love Lindy Hop, Charleston, Collegiate Shag, Balboa, and various other varieties of swing. All levels welcome! We have free lessons on Sundays from 1-3pm, dance at Madonna Inn every Monday from 8-10pm, and dance around SLO!"
Cal Poly Table Tennis Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1467018095957268,0.21181132867447844,0.45755653857740564,0.2424919807808552,0.15973550943858728,0.1732877663813481,0.2960742531171806,"Cal Poly Table Tennis Club Cal Poly Table Tennis is a group of students interested in developing their skills in table tennis in an encouraging, supportive environment. We welcome all ability levels and also offer the opportunity for competitive and recreational play."
Cal Poly TAGA Club,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2820817758373584,0.2268261600701992,0.44317890003521476,0.4400945931524981,0.2482696235500774,0.22470792305466725,0.29609329298895554,"Cal Poly TAGA Club Cal Poly TAGA, or Technical Association of the Graphic Arts, is a hands-on, competitive Graphic Communication club that focuses on designing and producing a technical research journal and introducing students to the graphics for printing industry."
Cal Poly Tech Sales Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.16524032704722397,0.2286244417588105,0.37910451889982183,0.3050071053486798,0.23180544891533364,0.16106991473038726,0.26681176828661374,"Cal Poly Tech Sales Club We are Cal Poly's new B2B software sales club, (tech sales). We want to give students, specifically any students the opportunity to learn more and get involved in SAAS sales. Our focus is to help students become BDRs, SDRs, and Account Executives."
Cal Poly Textile Engineering Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.06570706396856796,0.14745761318498574,0.4507046482668836,0.31585332195286653,0.12611618866709606,0.13159728930863956,0.23126650634712217,"Cal Poly Textile Engineering Club The goal of Cal Poly's Textile Engineering club is to represent synthetic materials in engineering and provide opportunities to develop our own textiles. Students aim to establish connections with industries that work with polymers, fibers, and plastics."
Cal Poly Theisms Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5495907108187269,0.5802580023148279,0.9665806791606574,0.5888616565259376,0.6250151337189009,0.5367030151033069,0.569938495808873,"Cal Poly Theisms Club We promote open-minded and thoughtful reflection upon issues important to Religious Studies with activities, speakers, and other programs."
Cal Poly Unicycle Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.10620424086548841,0.12075286621264499,0.31190660453326485,0.18661234312665673,0.09143476277512957,0.16879608474110916,0.12533571700908414,"Cal Poly Unicycle Club The Cal Poly Unicycle Club exists to teach anyone interested how to ride a unicycle for the first time, and also level up skills of existing riders. We hope to promote the sport of unicycling within our campus community in a safe and fun environment."
Cal Poly Urbanists Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.193780327743319,0.32782731554984346,0.5153296356462074,0.29422462010295447,0.3454102991018886,0.2538034846970068,0.2948940458162193,Cal Poly Urbanists Club We are looking to promote the real world application of planning principles in order to empower Cal Poly students to enact the change they wish to seek on campus and in SLO through activism and community engagement.
Cal Poly Valorant Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.31573952393819205,0.1470712362941365,0.32861999985224577,0.14227327697155284,0.2123368070229779,0.09208228051672998,0.16237844597272572,Cal Poly Valorant Club The one-stop for Valorant on campus. We welcome Casual and Competitive Valorant players!
Cal Poly Van Life Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25940038605657534,0.1759481628937532,0.4316335792894498,0.24839410932449318,0.2816693442968885,0.2097066098053995,0.2433552915857633,"Cal Poly Van Life Club A Van Life/ Tiny-House based club with a focus on travel, recreation & alternative living. Members also discuss DIY camper conversions. Ownership of a vehicle is not required to participate and all are welcome!"
Cal Poly Water Ski Team,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.20626599068660717,0.2214040549142288,0.48995881760475574,0.15802481947976418,0.08041943911494928,0.21794179363034755,0.17620982969011198,"Cal Poly Water Ski Team The Cal Poly Water Ski team promotes the sport of competitive Water Skiing up and down the West Coast and on National levels. We provide students of all skill levels with access to practice and coaching in slalom, trick, and jump events."
Cal Poly Women in Business Association,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06988627106362197,0.26011008765645705,0.5441245272889803,0.31445797735648096,0.20033083265570437,0.21404362857145642,0.26697841680509826,"Cal Poly Women in Business Association Founded in Spring 2015, the Cal Poly Women in Business Association was created to act as a resource and community for young women, working to provide students with the skills and network needed to succeed in college and life."
Cal Poly Women's Club Baseball,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.21438906232246996,0.24668957776151412,0.5728556055092637,0.27610759751293257,0.21611559607653497,0.21208022514754987,0.14028310568460303,Cal Poly Women's Club Baseball We are a club baseball team that gives women an opportunity to play and learn baseball and compete in games and tournaments against women's club teams at other colleges. We want to grow the community of women in this sport and build a community.
Cal Poly Women's Club Volleyball,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12264428681957554,0.16308576379442769,0.5299032784207368,0.13414320538588592,0.12696213815089008,0.11660018813836766,0.18666134452977812,Cal Poly Women's Club Volleyball Cal Poly Women's Club Volleyball offers intercollegiate competition at the club volleyball level.
Cal Poly Women's Club Water Polo,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.13548176204980125,0.3538030865385585,0.530285600772919,0.22258671209549544,0.20694953746933495,0.31643192089329086,0.24649447114003858,Cal Poly Women's Club Water Polo The Cal Poly Club Women's Water polo team is a group of athletes that compete at tournaments in the Pacific Coast Division of the Collegiate Water Polo Association. We are an inclusive team that collectively shares the love for the game.
Cal Poly Women's Lacrosse Team,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08396978363063698,0.14265209658831612,0.3503003597816192,0.16346516461391217,0.09136200048444781,0.07995268402240555,0.2232078640715535,"Cal Poly Women's Lacrosse Team Home of the 7-time National Champions, Cal Poly Women's Lacrosse competes in Division I & Division II of the Western Women's Lacrosse League as we play various teams throughout California."
Cal Poly Wrestling Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.21286343753056147,0.254722606821765,0.44745942298678665,0.366196873516327,0.1571644637094703,0.2713881675091753,0.24388751998290253,Cal Poly Wrestling Club Provides an opportunity for students to begin or continue their wrestling career and stay involved in the wrestling community
Cal Poly Yoga Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.15988555780259178,0.3172708076489077,0.555070589596951,0.473804783498993,0.46164798623449843,0.3125638985791277,0.3538751119654221,"Cal Poly Yoga Club Cal Poly Yoga Club is a recreational organization that provides a safe and inclusive space for students to learn, practice, and enjoy yoga and acro yoga together. It is free. No partner, experience or equipment is needed. @calpoly.yogaclub on instagram"
Cal Poly Yu-Gi-Oh! Club,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3311623694327421,0.43844291691530735,0.4722175369529296,0.3999472099667285,0.4076515394534712,0.37591429103553975,0.375390895131111,Cal Poly Yu-Gi-Oh! Club Cal Poly Yu-Gi-Oh! Club strives to create a friendly atmosphere for those interested in learning or playing the game Yu-Gi-Oh!
"California Polytechnic State University, San Luis Obispo Student Chapter of The Wildlife Society",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.24429322138560072,0.320453910206396,0.39981942787909436,0.3833358639799759,0.23640251547973218,0.2844786055639979,0.26983826952672607,"California Polytechnic State University, San Luis Obispo Student Chapter of The Wildlife Society Wildlife Club is a student chapter of The Wildlife Society and provides students interested in a career in wildlife with networking opportunities and workshops. We meet every Thursday at 11am."
Camellia Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.26457544685853296,0.6115510383358661,0.6541299367365517,0.3730061272351448,0.46170049935445157,0.5776920216990151,0.3949265757570519,"Camellia Club The Camellia Club has been formed to create a welcoming environment for all students of all years and majors to relax, get to know each other and make connections."
Camp PolyHacks,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.27449961454796756,0.4309093222738148,0.5485643785825278,0.320606809058338,0.35627874891231515,0.39041831603484667,0.35329394359659716,Camp PolyHacks Camp PolyHacks organizes an annual hackathon that brings together interdisciplinary students in building community and social entrepreneurship.
Campus Health & Wellbeing,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.22313820274590324,0.42036012333774586,0.4087756015034817,0.36105856762981026,0.380479713713637,0.3399163281564404,0.23950297175885096,Campus Health & Wellbeing Campus Health Wellbeing
Can of Worms Comedy Club,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.19522849392980532,0.3914392954544732,0.5001934924099458,0.18799445299933262,0.18543692237069492,0.22832638970050395,0.1817754470285561,"Can of Worms Comedy Club Can of Worms Comedy Club is the club for you if you want to venture out into the dazzling world of stand-up comedy! Whether you like to watch or perform stand-up comedy Can of Worms has open mics, themed nights, workshops, and showcases all year round!"
Career Services,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05890369938667264,0.0,0.11905826360837243,0.10442753493339049,0.15062867742389618,0.03554826119667759,0.19676336851337575,"Career Services Career Services empowers students to achieve a lifetime of meaningful career success by engaging with Cal Poly's vibrant network. We'll help you explore career possibilities, and provide guidance and resources to jump-start your career planning!"
Center for Leadership,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.21499315112677703,0.3261808365020482,0.3710348133658502,0.2123958701707563,0.20501301878026423,0.19798251602400918,0.2261468491918937,"Center for Leadership The Center for Leadership fosters socially responsible leadership development through high impact practices, programs, and events. The center fosters personal growth, determination and self-awareness while providing guidance and inspiration."
Center for Service in Action,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3126420255837054,0.2544392842630525,0.5535419897080951,0.23787380651401469,0.3481466689622328,0.17233628577028426,0.335335604931971,"Center for Service in Action The Center for Service in Action at Cal Poly empowers students to take action and address community needs through service, volunteering, and activism."
Chabad Student Group,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3627049515267356,0.5928393698152462,1.0,0.6017862829834202,0.5687942550698712,0.6076208715183223,0.5702651520562659,"Chabad Student Group Chabad Student Group of Cal Poly is a Jewish organization that provides students with a ''home away from home''. Chabad is dedicated to increasing the awareness, knowledge and tradition of Judaism in the Central Coast"
"Chi Delta Theta Sorority, Incorporated",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.2809582342254188,0.31520042245540597,0.5713873878606743,0.2613004304611331,0.27336029876848744,0.20516210914727742,0.31177216408473246,"Chi Delta Theta Sorority, Incorporated Chi Delta Theta strives to promote siblinghood, academics, community service, cultural awareness, and social activity in the lives of its members."
Chi Epsilon Honor Society,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.403639392637957,0.34548772280426054,0.4859433822098948,0.17136375791629532,0.21190017159804664,0.2987152027251507,0.30020858587684307,"Chi Epsilon Honor Society Chi Epsilon is the National Civil Engineering Honor Society in the United States. We honor students who have exemplified the principles of ""Scholarship, Character, Practicality, and Sociability"" in the civil and environmental engineering profession."
Chi Psi Chapter of Alpha Omicron Pi,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.26501207356624523,0.3165800621110031,0.4700320216312235,0.268816904552103,0.4217922682390943,0.14696246941846078,0.3385991448538332,"Chi Psi Chapter of Alpha Omicron Pi The object of the Fraternity shall be to encourage a spirit of Fraternity and love among its members; to stand at all times for character, dignity, scholarship, and college loyalty."
Chi Sigma chapter of Phi Sigma Iota,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.19641352227477876,0.30575262511352036,0.4641810186671088,0.3433495536618503,0.3102104847001875,0.2237612204282105,0.39437510341071724,"Chi Sigma chapter of Phi Sigma Iota Cal Poly PSI is a chapter of Phi Sigma Iota, the highest international linguistics honor society. It recognizes outstanding accomplishment in the study or teaching of academics related to foreign language, literature, and culture."
Chinese Students' Association,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2926651813157056,0.4706369313842944,0.56710986924569,0.4238272336840977,0.43893943806923175,0.4195866026426016,0.464197225449434,"Chinese Students' Association CSA is a social-cultural club that strives to bring people together through social events and celebrates Chinese culture, but most importantly our mission is to create an inclusive and friendly community."
Christian Students,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.74661286126355,0.9923042358683313,0.5912861462633746,0.542634306768025,0.7797826058793728,0.5192465911707438,"Christian Students We are a group of believers who love the Lord and want to meet with others who pursue Him, regardless of their background."
Club 34,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2313214487841636,0.31353270734144756,0.5863021952178513,0.36381436739276685,0.3612052171369139,0.2285719962182879,0.32983169205630625,"Club 34 Club 34 is Cal Poly's social art club. We aim to build a community of interdisciplinary creatives by hosting a handful of social events each quarter which may include student-run shows, craft nights, artist talks, and movie nights."
Club Tennis,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.11933512578210242,0.3477046327093172,0.58785364776534,0.2920481593220695,0.15881767905086144,0.21657968668400765,0.2420807122668213,"Club Tennis Club Tennis is a co-ed team whose goal is to allow players of all skill levels to continue their tennis careers at Cal Poly, and to develop a tight-knit group in the process. Our competitive team travels monthly to compete with teams across the nation."
College Corps Service Opportunities,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.13758391359286698,0.0676100804027585,0.3300137821888809,0.0,0.05282434199706966,0.0,0.1355074706621334,College Corps Service Opportunities Are you a College Corps fellow interested in doing some service outside of your primary host site? You're in the right place! Check out some fun supplemental service opportunities below.
"College of Agriculture, Food, and Environmental Sciences Student Council",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2723053230892099,0.38055248866108743,0.43273996317635544,0.3897992006319918,0.2336871690469855,0.30226696564127586,0.2503794102606002,"College of Agriculture, Food, and Environmental Sciences Student Council College of Agriculture Food and Environmental Sciences has one representative from each club to come together for a meeting every Tuesday to talk about different events going on in our college."
Colleges Against Cancer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2368488112759827,0.3455105892255357,0.5837432227994671,0.37975330102851246,0.3390346817278035,0.3005403510551058,0.3717388579878291,"Colleges Against Cancer We are a club that plans the annual Cal Poly Relay for Life, a large-scale fundraiser to benefit the American Cancer Society."
Color Coded,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.18214177733552997,0.27319493092199204,0.3568303099802256,0.26056970624309594,0.12436330682621928,0.2020423542216698,0.2834604704408142,"Color Coded Founded in 2018, ""Color Coded: Diversity in Tech"" is a student-led organization aiming to promote the professional and academic success of underrepresented students in the technology industry."
Comparative Ethnic Studies Student Association,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1663121808688664,0.5064910378135998,0.5671048127666246,0.30580812013798353,0.24681585158389874,0.48429097564077583,0.4556637005318953,Comparative Ethnic Studies Student Association Comparative Ethnic Studies Student Association''s purpose is to provide a place to supplement the educational and networking experiences of students with an interest in Comparative Ethnic Studies.
Computer Science and Artificial Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.18553019637964424,0.2914725104857394,0.2621644511052429,0.2148284019217656,0.03123067827375428,0.26621582504719826,0.2119451594109955,Computer Science and Artificial Intelligence CSAI brings students together to tackle meaningful problems using artificial intelligence.
Computing Club Collaborative,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.26187748165766045,0.3119733279430293,0.46607686997379005,0.30429972215918866,0.21880777648406,0.34345745552956997,0.3369913567476175,Computing Club Collaborative Leaders from computing organizations on campus come together to create immersive events for Cal Poly students!
