tablescraper-selected-row href,Club Name,Description Excerpt
https://now.calpoly.edu/organization/valorant,Cal Poly Valorant Club,The one-stop for Valorant on campus. We welcome Casual and Competitive Valorant players!
https://now.calpoly.edu/organization/vanlifeclub,Cal Poly Van Life Club,"A Van Life/ Tiny-House based club with a focus on travel, recreation & alternative living. Members also discuss DIY camper conversions. Ownership of a vehicle is not required to participate and all are welcome!"
https://now.calpoly.edu/organization/water-ski,Cal Poly Water Ski Team,"The Cal Poly Water Ski team promotes the sport of competitive Water Skiing up and down the West Coast and on National levels. We provide students of all skill levels with access to practice and coaching in slalom, trick, and jump events."
https://now.calpoly.edu/organization/cpwomeninbusiness,Cal Poly Women in Business Association,"Founded in Spring 2015, the Cal Poly Women in Business Association was created to act as a resource and community for young women, working to provide students with the skills and network needed to succeed in college and life."
https://now.calpoly.edu/organization/womensclubbaseball,Cal Poly Women's Club Baseball,We are a club baseball team that gives women an opportunity to play and learn baseball and compete in games and tournaments against women's club teams at other colleges. We want to grow the community of women in this sport and build a community.
https://now.calpoly.edu/organization/cpwcvb,Cal Poly Women's Club Volleyball,Cal Poly Women's Club Volleyball offers intercollegiate competition at the club volleyball level.
https://now.calpoly.edu/organization/cpwp-womens,Cal Poly Women's Club Water Polo,The Cal Poly Club Women's Water polo team is a group of athletes that compete at tournaments in the Pacific Coast Division of the Collegiate Water Polo Association. We are an inclusive team that collectively shares the love for the game.
https://now.calpoly.edu/organization/calpolywlax,Cal Poly Women's Lacrosse Team,"Home of the 7-time National Champions, Cal Poly Women's Lacrosse competes in Division I & Division II of the Western Women's Lacrosse League as we play various teams throughout California."
https://now.calpoly.edu/organization/wrestling,Cal Poly Wrestling Club,Provides an opportunity for students to begin or continue their wrestling career and stay involved in the wrestling community
https://now.calpoly.edu/organization/calpolyyogaclub,Cal Poly Yoga Club,"Cal Poly Yoga Club is a recreational organization that provides a safe and inclusive space for students to learn, practice, and enjoy yoga and acro yoga together. It is free. No partner, experience or equipment is needed. @calpoly.yogaclub on instagram"
https://now.calpoly.edu/organization/yu-gi-oh,Cal Poly Yu-Gi-Oh! Club,Cal Poly Yu-Gi-Oh! Club strives to create a friendly atmosphere for those interested in learning or playing the game Yu-Gi-Oh!
https://now.calpoly.edu/organization/cpwc,"California Polytechnic State University, San Luis Obispo Student Chapter of The Wildlife Society",Wildlife Club is a student chapter of The Wildlife Society and provides students interested in a career in wildlife with networking opportunities and workshops. We meet every Thursday at 11am.
https://now.calpoly.edu/organization/camellia,Camellia Club,"The Camellia Club has been formed to create a welcoming environment for all students of all years and majors to relax, get to know each other and make connections."
https://now.calpoly.edu/organization/camp-polyhacks,Camp PolyHacks,Camp PolyHacks organizes an annual hackathon that brings together interdisciplinary students in building community and social entrepreneurship.
https://now.calpoly.edu/organization/chw,Campus Health & Wellbeing,Campus Health Wellbeing
https://now.calpoly.edu/organization/cpcc,Can of Worms Comedy Club,"Can of Worms Comedy Club is the club for you if you want to venture out into the dazzling world of stand-up comedy! Whether you like to watch or perform stand-up comedy Can of Worms has open mics, themed nights, workshops, and showcases all year round!"
https://now.calpoly.edu/organization/careerservices,Career Services,"Career Services empowers students to achieve a lifetime of meaningful career success by engaging with Cal Poly's vibrant network. We'll help you explore career possibilities, and provide guidance and resources to jump-start your career planning!"
https://now.calpoly.edu/organization/leadership,Center for Leadership,"The Center for Leadership fosters socially responsible leadership development through high impact practices, programs, and events. The center fosters personal growth, determination and self-awareness while providing guidance and inspiration."
https://now.calpoly.edu/organization/serviceinaction,Center for Service in Action,"The Center for Service in Action at Cal Poly empowers students to take action and address community needs through service, volunteering, and activism."
https://now.calpoly.edu/organization/chabad,Chabad Student Group,"Chabad Student Group of Cal Poly is a Jewish organization that provides students with a ''home away from home''. Chabad is dedicated to increasing the awareness, knowledge and tradition of Judaism in the Central Coast"
https://now.calpoly.edu/organization/chidelts,"Chi Delta Theta Sorority, Incorporated","Chi Delta Theta strives to promote siblinghood, academics, community service, cultural awareness, and social activity in the lives of its members."
https://now.calpoly.edu/organization/xe,Chi Epsilon Honor Society,"Chi Epsilon is the National Civil Engineering Honor Society in the United States. We honor students who have exemplified the principles of ""Scholarship, Character, Practicality, and Sociability"" in the civil and environmental engineering profession."
https://now.calpoly.edu/organization/alpha-omicron-pi,Chi Psi Chapter of Alpha Omicron Pi,"The object of the Fraternity shall be to encourage a spirit of Fraternity and love among its members; to stand at all times for character, dignity, scholarship, and college loyalty."
https://now.calpoly.edu/organization/calpolypsi,Chi Sigma chapter of Phi Sigma Iota,"Cal Poly PSI is a chapter of Phi Sigma Iota, the highest international linguistics honor society. It recognizes outstanding accomplishment in the study or teaching of academics related to foreign language, literature, and culture."
https://now.calpoly.edu/organization/csa,Chinese Students' Association,"CSA is a social-cultural club that strives to bring people together through social events and celebrates Chinese culture, but most importantly our mission is to create an inclusive and friendly community."
https://now.calpoly.edu/organization/christian-students,Christian Students,"We are a group of believers who love the Lord and want to meet with others who pursue Him, regardless of their background."
https://now.calpoly.edu/organization/club34,Club 34,"Club 34 is Cal Poly's social art club. We aim to build a community of interdisciplinary creatives by hosting a handful of social events each quarter which may include student-run shows, craft nights, artist talks, and movie nights."
https://now.calpoly.edu/organization/tennis,Club Tennis,"Club Tennis is a co-ed team whose goal is to allow players of all skill levels to continue their tennis careers at Cal Poly, and to develop a tight-knit group in the process. Our competitive team travels monthly to compete with teams across the nation."
https://now.calpoly.edu/organization/americorps,College Corps Service Opportunities,Are you a College Corps fellow interested in doing some service outside of your primary host site? You're in the right place! Check out some fun supplemental service opportunities below.
https://now.calpoly.edu/organization/cafescouncil,"College of Agriculture, Food, and Environmental Sciences Student Council",College of Agriculture Food and Environmental Sciences has one representative from each club to come together for a meeting every Tuesday to talk about different events going on in our college.
https://now.calpoly.edu/organization/cac,Colleges Against Cancer,"We are a club that plans the annual Cal Poly Relay for Life, a large-scale fundraiser to benefit the American Cancer Society."
https://now.calpoly.edu/organization/color-coded,Color Coded,"Founded in 2018, ""Color Coded: Diversity in Tech"" is a student-led organization aiming to promote the professional and academic success of underrepresented students in the technology industry."
https://now.calpoly.edu/organization/cessa,Comparative Ethnic Studies Student Association,Comparative Ethnic Studies Student Association''s purpose is to provide a place to supplement the educational and networking experiences of students with an interest in Comparative Ethnic Studies.
https://now.calpoly.edu/organization/csai,Computer Science and Artificial Intelligence,CSAI brings students together to tackle meaningful problems using artificial intelligence.
https://now.calpoly.edu/organization/computingclubcollaborative,Computing Club Collaborative,Leaders from computing organizations on campus come together to create immersive events for Cal Poly students!
https://now.calpoly.edu/organization/crs,Computing Research Society,"Our club offers a space to conduct hands-on research, collaborative projects, and literature discussions in computing. Members present findings, fostering skills and a deeper understanding of research methodologies"
https://now.calpoly.edu/organization/core,CORE,"Core is a pre-WOW program rooted in proactively connecting underrepresented students to the resources, community, and connections that will kickstart their leadership journey at Cal Poly instilling confidence in their ability to navigate their WoW."
https://now.calpoly.edu/organization/cldc,Country Line Dancing Club,"The Country Line Dancing Club provides engaging, interactive line and partner dancing instruction to students and offers a safe environment for members to learn everything they need to know about country line dancing."
https://now.calpoly.edu/organization/cp-drag,Cal Poly Drag Club,Cal Poly Drag Club was founded as a way to give on campus queer artists and enthusiasts a way to explore and embrace themselves.
https://now.calpoly.edu/organization/slocru,Cru,"Cru Central Coast is a part of Cru, an interdenominational, worldwide Christian ministry with the goal of giving every student the opportunity to hear and respond to the Good News of Jesus Christ."
https://now.calpoly.edu/organization/delight-ministries,Delight Ministries at Cal Poly,Delight is a club inviting college women on the central coast into Christ-centered community that fosters vulnerability and transforms stories.
https://now.calpoly.edu/organization/deltachi,Delta Chi,"Delta Chi is a campus-affiliated Greek Fraternity. We strive to benefit the lives and characters of each and every one of our members. We foster a unique brotherhood centered around loyalty, compassion, & gentlemanly conduct."
https://now.calpoly.edu/organization/dsp,Delta Sigma Phi - Epsilon Rho Chapter,"Delta Sigma Phi's mission is ""Building Better Men"". The ""Better Man"" is defined as a man of courage, a man of action, and a man of excellence. Members of Delta Sigma Phi value culture, harmony, and friendship."
https://now.calpoly.edu/organization/deltasig,Delta Sigma Pi Kappa Mu Chapter,Delta Sigma Pi is a professional fraternity organized to foster the study of business in universities and promote closer affiliation between the commercial world & students of commerce.
https://now.calpoly.edu/organization/delta-upsilon,Delta Upsilon,Cal Poly affiliated fraternity chapter that strives to bring philanthropy and volunteer service to the Cal Poly campus and surrounding SLO community
https://now.calpoly.edu/organization/designlab,Design Lab,"Design Lab provides a space for designers and professionals to connect, collaborate on projects, and learn more about each other and the industry."
https://now.calpoly.edu/organization/calpolydesignvillage,Design Village,Design Village is a student-run organization that hosts annual design-build competitions under the direct sponsorship of Cal Poly's CAED. Competitors across the country compete alongside Cal Poly students to claim winner of the year's theme.
https://now.calpoly.edu/organization/disability-alliance,Disability Alliance,"The Disability Alliance seeks to develop a supportive and welcoming environment for students of all abilities at Cal Poly by creating community spaces for peer connection and educating on disability history, culture, and activism."
https://now.calpoly.edu/organization/drc,Disability Resource Center,The Disability Resource Center (DRC) cultivates an accessible and inclusive community where students with permanent and temporary disabilities have an equal opportunity to participate in all aspects of campus life.
https://now.calpoly.edu/organization/diversityinclusion,Diversity & Inclusion,"Diversity & Inclusion is a collective of campus resource centers that support and empower students experiencing marginalization, through intersectional advocacy and cultural connections to build a more just and equitable Cal Poly community."
https://now.calpoly.edu/organization/adventurers,Dragon Boating Outreach Club,"We are a Cal Poly club affiliated with the Central Coast Adventurers Dragon Boat team in which students have the opportunity to paddle in Morro Bay in a fun and supportive environment. We provide a chance to see wildlife, build community, and exercise!"
https://now.calpoly.edu/organization/dreamcentercommunity,Dream Center,"Providing holistic support and resources to undocu/DACA students, members of mixed status families, and allies through empowering and educational programming, community building, and campus referrals. Register for this quarter’s events in our profile"
https://now.calpoly.edu/organization/eco-reps,Eco Reps,Eco Reps are committed to creating a culture of environmental stewardship on campus at Cal Poly. Eco Reps exemplify the motto 'Growing Greener Minds' and plays a direct role in Cal Poly's advancement for sustainability.
https://now.calpoly.edu/organization/eop,Educational Opportunity Program (EOP),"Provides admission, academic and financial support services to historically underserved students throughout California."
https://now.calpoly.edu/organization/teachersofcolorlendinglibrary,Educators of Color,"Educators of Color's purpose is to create a space for students of color who are passionate about the educational field from teaching primary, secondary, or post-secondary settings, to working as administrators or as student/academic affairs personnel."
https://now.calpoly.edu/organization/eimclub,EIM Club,"The EIM Club is a student organization that has a primary focus to serve students, whether majors or not, interested in recreation, parks, and tourism administration (RPTA). We provide opportunities in networking, jobs, and local business insights."
https://now.calpoly.edu/organization/endoverdose,End Overdose at Cal Poly,"End Overdose is a 501(c)3 non-profit organization based in Los Angeles, California working to end drug-related overdose deaths through education, medical intervention, and public awareness."
https://now.calpoly.edu/organization/eng-student-council,Engineering Student Council,"The Engineering Student Council serves to bridge the communication gap between engineering students, the College of Engineering, and the University, and provides cohesion and cooperation between the diverse student organizations and clubs within CENG."
https://now.calpoly.edu/organization/globalengineeringawareness,Engineers for Global Cultural Awareness,Engineers for Global Awareness is a space for engineers to learn more about the different engineering practices worldwide.
https://now.calpoly.edu/organization/esc,Environmental Sciences Club,"ESC serves to introduce students who are interested in Environmental Science to potential career paths, community service organizations, and recreational activities related to environmental science and natural resources."
https://now.calpoly.edu/organization/epicmovement,Epic Movement,Epic is an Asian American Christian movement that is focused on bringing the love of Jesus Christ to students at Cal Poly. We seek to become apart of God's redemptive mission to share the Gospel world-wide.
https://now.calpoly.edu/organization/alphaphi,Epsilon Chi Chapter of Alpha Phi International Fraternity Incorporated,"Alpha Phi is a sisterhood of outstanding women supporting one another in lifelong achievement. The sisterhood of Alpha Phi stretches from coast to coast through 164 collegiate campuses and more than 200,000 members."
https://now.calpoly.edu/organization/axo,Epsilon Omega Chapter of Alpha Chi Omega,"Alpha Chi Omega was founded to provide a basis of mutual helpfulness and of congenial fellowship. The purpose of Alpha Chi Omega was to provide the advancement of the intellectual, social and moral culture of its members."
https://now.calpoly.edu/organization/esports,Esports Council,"This Organization is the official voice of the many different esports and gaming clubs that exist on campus in order to promote and champion the needs, interests, and activities of the students who engage with the gaming community at Cal Poly."
https://now.calpoly.edu/organization/hkn,Eta Kappa Nu,Electrical and Computer Engineering Honor Society
https://now.calpoly.edu/organization/phisigslo,Eta Septaton Chapter Phi Sigma Kappa,"The Eta Septaton Chapter of Phi Sigma Kappa is a group of brothers that promotes our three pillars of brotherhood, scholarship, and character in each of our lives."
https://now.calpoly.edu/organization/sigma-pi,Eta-Delta Chapter of Sigma Pi Fraternity,"Eta Delta Chapter of Sigma Pi Fraternity, International"
https://now.calpoly.edu/organization/ersa,External Relations,
https://now.calpoly.edu/organization/fast,"Fashion, Innovation, Trendsetting, and Styling Club","A community for students who are interested in the realm of fashion and learning skills in garment construction, styling, design, modeling, and fashion photography, while integrating the values of sustainable fashion.  Formerly known as FAST"
https://now.calpoly.edu/organization/fma,Financial Management Association,FMA introduces its members to the limitless number of career opportunities in Finance.
https://now.calpoly.edu/organization/food-science,Food Science Club,Food Science Club provides opportunities for food science students to learn about possible opportunities and achievements in the food industry.
https://now.calpoly.edu/organization/flc,French Language Club,"The French Language Club is a group dedicated to speaking and practicing speaking French. All skill levels are welcome. We do social events, like French-themed soirées, but mainly practice conversational french."
https://now.calpoly.edu/organization/fnl,Friday Night Live,"Friday Night Live at Cal Poly is a club on campus that creates fun and free events that promote social, emotional, and physical well-being, while introducing club members to the field of Behavioral Health."
https://now.calpoly.edu/organization/furries,Furries at Cal Poly,"Join an inclusive and passionate community of furries on campus! We organize art workshops, furmeets, convention info sessions, and outreach for everything anthro."
https://now.calpoly.edu/organization/fmec,Future Math Educators Club,"The primary goal of the club is increasing communication, fostering social connections, and the creation and upkeep of a community among students, faculty, and staff at Cal Poly interested in the study of the teaching of mathematics."
https://now.calpoly.edu/organization/slogammaphibeta,"Gamma Phi Beta, Delta Theta Chapter",Panhellenic Sorority
https://now.calpoly.edu/organization/geccommunity,Gender Equity Center (GEC),"Founded by students the Gender Equity Center empowers feminine, transgender, womxn-of-center, other gender-expansive students, and their supporters through expansive and inclusive programing. Register for this quarter’s events in our profile."
https://now.calpoly.edu/organization/cpgig,Gender-Inclusive Gaming,Gender-Inclusive Gaming is a social safe space that supports minorities who are interested in gaming of any variation as a leisure activity!
https://now.calpoly.edu/organization/calpolygg,Genetics and Genomics Club,"A resource group for students who are interested in learning about genetic counseling and the field of genetics. We facilitate discussions, host guests, and practice skills to help each other grow as individuals and as future professionals."
https://now.calpoly.edu/organization/genkey,GenKEY Sound Collective,"GenKEY is a collective of non-audition bands that focus on Japanese Rock, Pop, R&B, Funk, and Jazz. Each band aims to amplify Japanese culture through music both on-campus and off!"
https://now.calpoly.edu/organization/gdsc,Google Developer Student Clubs,Google Developer Student Clubs (GDSC) are university-based community groups for students interested in Google technologies and programming. There are GDSCs in over 110 countries around the world that include undergraduate and graduate students.
https://now.calpoly.edu/organization/gsa,Graduate Student Association,The official representative body of graduate students at Cal Poly
https://now.calpoly.edu/organization/guac,Graduate Unified ARCE Club,This club is for Graduate Students pursuing a career in Structural Engineering with a goal of fostering a community of diverse students in a primarily undergraduate institution. Our club would help foster both professional and social skills.
https://now.calpoly.edu/organization/growcrew,GrowCrew,"To promote the practice, awareness, and access to sustainable and innovative ideas for controlled environment agriculture."
https://now.calpoly.edu/organization/guardianscholars,Guardian Scholars,"Guardian Scholars, Office of Dean of Students"
https://now.calpoly.edu/organization/hack4impact,Hack4Impact,"We are a student-run 501(c)(3) organization that empowers engineers, designers, activists, and humanitarians to create lasting social change by developing projects for local nonprofits. We foster the wider adoption of software as a tool for social good."
https://now.calpoly.edu/organization/hercampuscalpoly,Her Campus at Cal Poly,"We are an online magazine catered to collegiate women but open to all. Joining our magazine is a great way to get real experience in the editorial, media, journalism, marketing, and event planning industry."
https://now.calpoly.edu/organization/cphiking,Hiking and Backpacking Club,We are focused on uniting students from diverse backgrounds through the common love for the outdoors. We do weekly hikes and quarterly backpacking trips.
https://now.calpoly.edu/organization/hillel,Hillel of San Luis Obispo,"San Luis Obispo Hillel is the center-point of Jewish life at Cal Poly and San Luis Obispo Community. We provide a welcoming and supportive environment, so our students can be proud of and engaged with their Judaism."
https://now.calpoly.edu/organization/hindu-yuva,Hindu YUVA,"Hindu YUVA (Youth for Unity, Virtues, and Action) holds meetings and conducts events where we have yoga, discussions, games, celebrate festivals, volunteer with the community, guest lectures about Hinduism, and much more. Everyone is welcome to join!"
https://now.calpoly.edu/organization/horticulture,Horticulture Club,"The purpose of this organization is to allow students interested in horticulture to socialize, learn about plants, grow plants in hands-on settings, and network with industry."
https://now.calpoly.edu/organization/cphuiohawaii,Hui O Hawai'i,Cal Poly Hui ‘O Hawai'i provides a home away from home for students from Hawai'i and a community for all those who are interested in the culture of Hawai'i. We seek to spread aloha through cultural and social events.
https://now.calpoly.edu/organization/hrma,Human Resource Management Club,"The Human Resources & Management Association is open to all majors with a focus on professional development. We want to offer the students at Cal Poly a place to grow and learn about business, Human Resources, and management."
https://now.calpoly.edu/organization/hummus,Hummus Club,"A club for anyone who loves hummus and wants to see if they can enjoy it even more with fellow hummus friends on campus. Kick back, dip a chip, and have a good time. We hummus now."
https://now.calpoly.edu/organization/igniteconsulting,Ignite Consulting Junior Enterprise,Junior Enterprises aims to provide students of higher education with a unique learn by doing experience through managing and working with consulting firms/businesses.
https://now.calpoly.edu/organization/iye,Imagen y Espiritu Ballet Folklorico de Cal Poly,Imagen y Espiritu Ballet Folklorico de Cal Poly is a student-led dance club participating in showcasing Mexican regional dances at various Cal Poly and local community events.
https://now.calpoly.edu/organization/indian-students-assoc,Indian Students Association,ISA is a cultural club open to all South Asian students. We aim to provide a diverse and inclusive environment for all of our members.
https://now.calpoly.edu/organization/idsacalpoly,Industrial Designers Society of America at Cal Poly,"Student Chapter of the Industrial Designers Society of America. Our mission is to create a space where students can gain design experience, build professional networks, and build technical skills."
https://now.calpoly.edu/organization/its-society,Industrial Technology Society,ITS provides operations focused ITP students with networking opportunities with industry professionals
https://now.calpoly.edu/organization/isa,Information Systems Association,Information Systems Association(ISA) is a professional networking club under OCOB that helps connect companies and students for jobs and internship opportunities.
https://now.calpoly.edu/organization/iise,Institute of Industrial and Systems Engineers,"IISE is dedicated to the professional development, education, and involvement of all our members. Some of our events include info sessions with top industry representatives, socials, career fairs, and workshops. We welcome everyone whos interested!"
https://now.calpoly.edu/organization/ite,Institute of Transportation Engineers (ITE),ITE is an organization dedicated to connecting and educating transportation professionals.
https://now.calpoly.edu/organization/isf,International Student Friendship,"The ISF club's goal is to build lasting friendships among international students, scholars and American friends by caring for and fostering their unique interests: physical, social, emotional, and spiritual."
https://now.calpoly.edu/organization/ivslo,InterVarsity Christian Fellowship San Luis Obispo,"InterVarsity SLO is a community of Christ-followers that invites students and faculty from every cultural, spiritual, and ethnic background to be curious about who Jesus is and to experience God’s love as a family."
https://now.calpoly.edu/organization/iranian-student-cultural-organization,Iranian Student Cultural Organization,"ISCO is a non-political, non-religious student organization whose main objective is to host Iranian social activities & events to promote an understanding of the culture while creating a safe environment to foster friendships"
https://now.calpoly.edu/organization/italian-cultural-association,Italian Cultural Association,"The Italian Cultural Association provides a space for students with Italian heritage, or those simply interested in Italian culture, to come together and build community. The ICA hosts regular meetings as well as events throughout the year!"
https://now.calpoly.edu/organization/iter8,iter8 at Cal Poly,"We are Cal Poly's first product design agency for students to gain hands-on Product Design experience. We create a positive space for students to collaborate in teams, design user experience solutions for startups, and develop their portfolios."
https://now.calpoly.edu/organization/jsa,Japanese Student Association,Japanese Student Association (JSA) is a social and cultural club dedicated to sharing and celebrating Japanese culture.
https://now.calpoly.edu/organization/joc,Journalists of Color @ Cal Poly,A safe space for journalists of color at Cal Poly To embrace and encourage diversity in each one’s culture in the field of journalism Learn about how to approach a story that contains diverse topics Approach diversity in a holistically and respectfully
https://now.calpoly.edu/organization/kappa-alpha-theta,"Kappa Alpha Theta, Zeta Theta",Theta teaches us the importance of aspiring to something higher and envelops us in a sisterhood that is loyal and loving.
https://now.calpoly.edu/organization/kkg,Kappa Kappa Gamma,"Panhellenic chapter at Cal Poly that falls under Fraternity & Sorority Life. Kappa Kappa Gamma offers a member experience ranging from friendship to mentoring, from leadership to service, and from campus activities to a lifetime of community involvement."
https://now.calpoly.edu/organization/kkpsi,Kappa Kappa Psi - Iota Pi,Kappa Kappa Psi operates primarily as a student service and leadership recognition society whose chief aim is to assist the Director of Bands in developing the leadership and enthusiasm that is required of their band.
https://now.calpoly.edu/organization/pikapp,"Kappa Pi Associate Chapter of Pi Kappa Phi Fraternity, located at Cal Poly","Pi Kappa Phi is a national men's fraternity founded on leadership in 1904 at the College of Charleston. We are now 120,000 strong, & on more than 180 campuses."
https://now.calpoly.edu/organization/camp-kesem-at-cal-poly-slo,Kesem at Cal Poly,"Kesem is a national nonprofit organization dedicated to supporting children through and beyond a parent's cancer, by hosting a week-long summer camp and fostering a year-round community."
https://now.calpoly.edu/organization/kajakrew,Kaja Krew,"A dance club specializing in K-pop, we are an all levels and experience welcome, inclusive community that consistently performs and records covers."
https://now.calpoly.edu/organization/lambda-chi,Lambda Chi Alpha - Phi Sigma Zeta,on-campus fraternity
https://now.calpoly.edu/organization/lph,Lambda Pi Eta,Lambda Pi Eta is a Communication Studies honor society.
https://now.calpoly.edu/organization/lsg,Lambda Sigma Gamma,"Lambda Sigma Gamma is a multicultural sorority that strives on the diversity of its members. We are an organization that focuses of on our five pillars: Professionalism, Academics,Philanthropy, Sisterhood, & Multiculturalism."
https://now.calpoly.edu/organization/lambda_theta_phi_latin_fraternity_inc,"Lambda Theta Phi Latin Fraternity, Inc.","Lambda Theta Phi Latin Fraternity, Inc. was founded at Kean College in Union, New Jersey on December 1, 1975. We strive for academic success, and uphold our core values of Unity, Respect, Brotherhood, Culture, and Pride."
https://now.calpoly.edu/organization/lacasacommunity,Latine/x Center For Academic Success and Student Achievement (LaCASA),"Nurturing the Latine/x community and their intersectional experiences through transformational programming such as cultural celebrations, educational opportunities, and events centering comunidad. Register for this quarter’s events in our profile."
https://now.calpoly.edu/organization/lia,Latinos in Agriculture,"Latinos in Agriculture (LIA) is a professional and cultural organization dedicated to providing a home away from home for underrepresented students in the College of Agriculture, Food, and Environmental Sciences (CAFES)."
https://now.calpoly.edu/organization/lbsa,Latinx Business Student Association,Latinx Business Student Association
https://now.calpoly.edu/organization/lca,Latinx Cultural Association,"LCA strives to create a fun social environment to learn, share and experience Latinx culture and practices. We aspire to promote a welcoming community open to everyone and give the opportunity to appreciate the various heritages of the Latinx community."
https://now.calpoly.edu/organization/lbdg-awards,Learn by Doing Good Awards,"The Learn by Doing Good Awards honor students, faculty, staff, and organizations who participate in service to the campus and community. It combines the Community Service Awards and LEAD Awards into a new event for 2024."
https://now.calpoly.edu/organization/lettersoflove,Letters of Love,A club where students can come together to have the opportunity to make letters of encouragement to children and families of those who are in local hospitals.
https://now.calpoly.edu/organization/laesclub,Liberal Arts and Engineering Studies,Liberal Arts and Engineering Studies
https://now.calpoly.edu/organization/lifeskills,Life Skills Program,"The Life Skills Program in the Office of the Dean of Students empowers students to build essential life skills to thrive academically, personally and professionally."
https://now.calpoly.edu/organization/loslecheros,Los Lecheros Dairy Club,Los Lecheros Dairy Club was formed for all those passionate about sharing a common interest in the field of dairy science.
https://now.calpoly.edu/organization/msci,Marine Sciences,"The Marine Sciences Club works to unite students across all disciplines who have a passion for marine sciences. We aim to build community, offer members connections to opportunities, and have fun!"
https://now.calpoly.edu/organization/mpp,Mat Pica Pi,"Mat Pica Pi is Graphic Communication's social and professional development club. We aim to connect all generations of GrC, as well as connect our students with professional career opportunities."
https://now.calpoly.edu/organization/mathclub,Math Club,The purpose of Math Club is to provide a safe and inclusive area for people who have a passion for math to make connections. The goal is to bring people together for events throughout the year as well as offer great opportunities to get involved.
https://now.calpoly.edu/organization/mbastudentassociation,MBA Student Association,The purpose of this organization is to create opportunities for Cal Poly MBA students to further their educational and professional development and be a resource for students to connect to professionals within the business world.
https://now.calpoly.edu/organization/mcaa,Mechanical Contractors Association of America,"MCAA competes in several mechanical competitions, fundraises with industry, and travels to conferences. Our Team simulates proposals of a mechanical and plumbing contractor and provides a unique and informative understanding of specialty contracting."
https://now.calpoly.edu/organization/menmasculinitiescommunity,Men and Masculinities Program (MnM),"Collaborating to develop healthy masculinities we create educational events and spaces for men of color and marginalized masculine identities to discuss gender identity, expression, and intersectionality. Register for this quarter’s events in our profile"
https://now.calpoly.edu/organization/club-basketball,Men's Club Basketball,Cal Poly Club Basketball is an intermediate level of competition between the D1 and intramural leagues. This club allows players to continue their love for the game and competitive nature to continue past high school.
https://now.calpoly.edu/organization/menshealthandwellbeingclub,Men's Health & Wellbeing Club,"The Men’s Health & Wellbeing Club aims to educate, support, and unite young college men who are seeking to improve their lives in a holistic way. We provide resources, tools, and community to promote a healthy physical, mental, and social lifestyle."
https://now.calpoly.edu/organization/mens-club-soccer,Men's Soccer Club,"The Cal Poly Men's Soccer Club has grown into one of the top college club soccer programs in the Nation. Fielding 2 full squads, we regularly compete with the best teams in the state as well as the country in leage, regional, and national matches."
https://now.calpoly.edu/organization/cpmvb,Men's Volleyball,A competitive men's volleyball program that plays matches and tournaments in the Northern California Collegiate Volleyball League. We field 2 teams that both play in the National Championships put on by the National Collegiate Volleyball Federation.
https://now.calpoly.edu/organization/cpmwp,Men's Water Polo Club,"Men's water polo completes within the Collegiate Water Polo Association against other schools around the nation. If qualified, the team competes in the CWPA national championships at the end of the season."
https://now.calpoly.edu/organization/mcm,Mercy College Movement,"MCM is a club through a local church called Mercy Church that provides services on campus on Sunday nights, and organizes meetings to proclaim the name of Jesus on Cal Poly's campus!"
https://now.calpoly.edu/organization/mess,MESS,"The Materials Engineering Student Society hosts events for MATE students and offers opportunities to collaborate, study, socialize, and gain information about career options and research."
https://now.calpoly.edu/organization/msc,Military Science Club,"MSC is a social group where CP students and ROTC cadets can come together for friendly gatherings, compete in entertaining games, participate in volunteer events, and have many opportunities to relax and have some fun!"
https://now.calpoly.edu/organization/minnanoanime,Minna No Anime,"Minna no Anime is a group formed to promote, discuss, and appreciate Japanese animation."
https://now.calpoly.edu/organization/calpolymip,Minorities in Physics,"We provide a space for underrepresented identities in physics to connect with one another, talk about common issues/struggles, and ultimately create a supportive and positive community."
https://now.calpoly.edu/organization/mexa,Movimiento Estudiantil Xicano de Aztlan (MEXA),We are a social and politically conscious club that aims to empower our Latinx students.
https://now.calpoly.edu/organization/multiculturalcentercommunity,MultiCultural Center (MCC),"The original cultural center at Cal Poly, the center continues to evolve as it serves all communities. We facilitate programs, events and resources to ensure all students develop their sense of belonging. Register for this quarter’s events in our profile"
https://now.calpoly.edu/organization/cpmusicappreciation,Music Appreciation Club,"We are a club that gets together weekly to listen to and share music. Any and all genres, styles, and forms are appreciated! Email us at cpmusicappreciation@gmail.com for more information"
https://now.calpoly.edu/organization/mpu,Music Production Union,"We are a club that promotes music, musicians, and creativity! We have workshops, showcases, jam sessions, social gatherings, and concerts!"
https://now.calpoly.edu/organization/msa,Muslim Students Association,"The MSA is a space for students to gather to learn and grow in the Muslim faith, and it provides resources and support for Muslim students on campus."
https://now.calpoly.edu/organization/mustangaviationclub,Mustang Aviation,"The Mustang Aviation Club advances the science of aeronautics, to develop aviation and to educate pilots in every way towards safe operations."
https://now.calpoly.edu/organization/mband,Mustang Band Club,"The Mustang Band is a large group of brass, woodwind, percussion, and color guard performers that provide entertainment at Cal Poly athletic events."
https://now.calpoly.edu/organization/cpmustangconsulting,Mustang Consulting at Cal Poly,"The purpose of Mustang Consulting is to provide pro bono consulting services to various organizations, community groups, and other entities in need, while providing professional development opportunities for its members."
